2023-01-29 06:22:35, Download: 93,717320 Mbits/s, Upload: 93,465576 Mbits/s, Jitter: 1,725 ms, Lost: 0 %, Latencia: 7,983 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 06:40:59, Download: 93,815832 Mbits/s, Upload: 93,509760 Mbits/s, Jitter: 0,057 ms, Lost: 0 %, Latencia: 1,065 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 06:58:34, Download: 93,838824 Mbits/s, Upload: 93,475712 Mbits/s, Jitter: 0,186 ms, Lost: 0 %, Latencia: 1,146 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 07:16:09, Download: 93,670272 Mbits/s, Upload: 93,462808 Mbits/s, Jitter: 0,155 ms, Lost: 0 %, Latencia: 1,127 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 07:33:40, Download: 93,597840 Mbits/s, Upload: 93,470856 Mbits/s, Jitter: 0,124 ms, Lost: 0 %, Latencia: 1,201 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 07:51:16, Download: 93,370928 Mbits/s, Upload: 92,772816 Mbits/s, Jitter: 0,104 ms, Lost: 0 %, Latencia: 1,139 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 08:08:51, Download: 93,349360 Mbits/s, Upload: 93,491672 Mbits/s, Jitter: 0,097 ms, Lost: 0 %, Latencia: 0,983 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 08:26:28, Download: 93,685928 Mbits/s, Upload: 93,388424 Mbits/s, Jitter: 0,19 ms, Lost: 0 %, Latencia: 1,329 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 08:44:04, Download: 93,634304 Mbits/s, Upload: 93,474728 Mbits/s, Jitter: 0,098 ms, Lost: 0 %, Latencia: 1,1 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 09:01:58, Download: 93,459480 Mbits/s, Upload: 93,514216 Mbits/s, Jitter: 0,2 ms, Lost: 0 %, Latencia: 1,144 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 10:15:17, Download: 92,538008 Mbits/s, Upload: 93,466560 Mbits/s, Jitter: 0,33 ms, Lost: 0 %, Latencia: 1,157 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 10:32:52, Download: 93,587352 Mbits/s, Upload: 93,475128 Mbits/s, Jitter: 0,165 ms, Lost: 0 %, Latencia: 1,12 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 10:50:27, Download: 93,697152 Mbits/s, Upload: 93,484592 Mbits/s, Jitter: 0,137 ms, Lost: 0 %, Latencia: 1,32 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 11:08:01, Download: 93,623288 Mbits/s, Upload: 93,502752 Mbits/s, Jitter: 0,074 ms, Lost: 0 %, Latencia: 0,946 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 11:25:43, Download: 93,595240 Mbits/s, Upload: 93,478576 Mbits/s, Jitter: 0,083 ms, Lost: 0 %, Latencia: 1,126 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 11:43:33, Download: 93,668368 Mbits/s, Upload: 93,466088 Mbits/s, Jitter: 0,215 ms, Lost: 0 %, Latencia: 0,94 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 12:02:43, Download: 93,449328 Mbits/s, Upload: 93,446888 Mbits/s, Jitter: 0,28 ms, Lost: 0 %, Latencia: 1,061 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 12:20:55, Download: 93,249224 Mbits/s, Upload: 93,479816 Mbits/s, Jitter: 0,101 ms, Lost: 0 %, Latencia: 1,103 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 12:38:33, Download: 93,638664 Mbits/s, Upload: 93,491528 Mbits/s, Jitter: 0,078 ms, Lost: 0 %, Latencia: 0,974 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 12:56:06, Download: 93,678824 Mbits/s, Upload: 93,490440 Mbits/s, Jitter: 0,058 ms, Lost: 0 %, Latencia: 1,035 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 13:14:12, Download: 93,598248 Mbits/s, Upload: 93,494944 Mbits/s, Jitter: 0,169 ms, Lost: 0 %, Latencia: 1,091 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 13:30:34, Download: 93,565624 Mbits/s, Upload: 93,495712 Mbits/s, Jitter: 0,139 ms, Lost: 0 %, Latencia: 1,222 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 13:49:28, Download: 93,389456 Mbits/s, Upload: 93,495192 Mbits/s, Jitter: 0,171 ms, Lost: 0 %, Latencia: 1,151 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 14:08:35, Download: 93,289584 Mbits/s, Upload: 93,481992 Mbits/s, Jitter: 0,143 ms, Lost: 0 %, Latencia: 1,136 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 14:27:42, Download: 93,817440 Mbits/s, Upload: 93,350256 Mbits/s, Jitter: 0,084 ms, Lost: 0 %, Latencia: 1,163 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 14:46:50, Download: 93,487992 Mbits/s, Upload: 93,469040 Mbits/s, Jitter: 0,11 ms, Lost: 0 %, Latencia: 1,13 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 16:45:59, Download: 93,669064 Mbits/s, Upload: 93,480584 Mbits/s, Jitter: 0,092 ms, Lost: 0 %, Latencia: 1,009 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 17:04:25, Download: 93,401992 Mbits/s, Upload: 93,483032 Mbits/s, Jitter: 0,147 ms, Lost: 0 %, Latencia: 1,096 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 17:21:58, Download: 93,532472 Mbits/s, Upload: 93,492464 Mbits/s, Jitter: 0,526 ms, Lost: 0 %, Latencia: 1,252 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 17:39:31, Download: 93,831616 Mbits/s, Upload: 93,507664 Mbits/s, Jitter: 0,195 ms, Lost: 0 %, Latencia: 1,138 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 17:57:05, Download: 93,934912 Mbits/s, Upload: 93,487184 Mbits/s, Jitter: 0,105 ms, Lost: 0 %, Latencia: 1,146 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 18:14:37, Download: 93,522864 Mbits/s, Upload: 93,475464 Mbits/s, Jitter: 0,26 ms, Lost: 0 %, Latencia: 1,235 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 18:32:09, Download: 93,509320 Mbits/s, Upload: 93,468448 Mbits/s, Jitter: 0,13 ms, Lost: 0 %, Latencia: 1,1 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 18:49:50, Download: 93,554344 Mbits/s, Upload: 93,469560 Mbits/s, Jitter: 0,135 ms, Lost: 0 %, Latencia: 1,078 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 19:07:22, Download: 93,509760 Mbits/s, Upload: 93,478120 Mbits/s, Jitter: 0,189 ms, Lost: 0 %, Latencia: 1,113 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 19:25:04, Download: 93,682552 Mbits/s, Upload: 93,482744 Mbits/s, Jitter: 0,157 ms, Lost: 0 %, Latencia: 1,095 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 19:42:48, Download: 93,582464 Mbits/s, Upload: 93,487080 Mbits/s, Jitter: 0,118 ms, Lost: 0 %, Latencia: 1,327 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 20:00:24, Download: 93,606048 Mbits/s, Upload: 93,473984 Mbits/s, Jitter: 0,109 ms, Lost: 0 %, Latencia: 1,135 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 20:17:56, Download: 93,524136 Mbits/s, Upload: 93,496504 Mbits/s, Jitter: 0,177 ms, Lost: 0 %, Latencia: 1,208 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 20:35:30, Download: 93,557864 Mbits/s, Upload: 93,457616 Mbits/s, Jitter: 0,273 ms, Lost: 0 %, Latencia: 1,211 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 20:53:08, Download: 89,260952 Mbits/s, Upload: 92,873040 Mbits/s, Jitter: 0,5 ms, Lost: 0 %, Latencia: 2,147 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 21:10:52, Download: 90,136632 Mbits/s, Upload: 93,365680 Mbits/s, Jitter: 0,074 ms, Lost: 0 %, Latencia: 0,952 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 21:29:10, Download: 93,610744 Mbits/s, Upload: 93,447576 Mbits/s, Jitter: 0,248 ms, Lost: 0 %, Latencia: 1,189 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 21:46:50, Download: 93,990520 Mbits/s, Upload: 93,480432 Mbits/s, Jitter: 0,098 ms, Lost: 0 %, Latencia: 1,196 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 22:04:22, Download: 93,368696 Mbits/s, Upload: 93,480520 Mbits/s, Jitter: 0,06 ms, Lost: 0 %, Latencia: 1,174 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 22:22:06, Download: 93,800304 Mbits/s, Upload: 93,485272 Mbits/s, Jitter: 0,319 ms, Lost: 0 %, Latencia: 1,385 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 22:45:04, Download: 92,351976 Mbits/s, Upload: 93,505464 Mbits/s, Jitter: 0,147 ms, Lost: 0 %, Latencia: 1,049 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 23:02:37, Download: 93,716104 Mbits/s, Upload: 93,367344 Mbits/s, Jitter: 0,112 ms, Lost: 0 %, Latencia: 1,157 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 23:20:08, Download: 93,311264 Mbits/s, Upload: 93,466104 Mbits/s, Jitter: 4,526 ms, Lost: 0 %, Latencia: 5,575 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 23:37:49, Download: 93,571120 Mbits/s, Upload: 93,477960 Mbits/s, Jitter: 0,12 ms, Lost: 0 %, Latencia: 1,072 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 23:55:21, Download: 93,708960 Mbits/s, Upload: 93,502816 Mbits/s, Jitter: 0,125 ms, Lost: 0 %, Latencia: 1,063 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
